#,Name,Link,Kind,What it covers,Why the design works,What to copy,Screenshot file
16,HyperPhysics,http://hyperphysics.phy-astr.gsu.edu/hbase/index.html,Science cards,Physics from motion to quantum as small linked cards.,Tiny cards where every term links to the next.,Concept map links between claims.,dense-16-hyperphysics.png
17,Math Insight,https://mathinsight.org,Math guides,Calculus and shapes with small applets to build feel.,Plain text plus small interactive blocks.,Guided tour of short pages.,dense-17-math-insight.png
18,PainScience,https://www.painscience.com,Pain evidence,Guides to back pain and treatments with links to papers.,Plain text with deep indexes and update logs.,Update log plus linked sources.,dense-18-painscience.png
19,Harvard Healthy Sleep,https://sleep.hms.harvard.edu/education-training/public-education/sleep-and-health-education-program/sleep-health-education-40,Sleep school,Free sleep guide from Harvard sleep doctors.,"Plain school shape: why, science, age, action.",Module shape for sleep topics.,dense-19-harvard-sleep.png
20,Berkshire Letters,https://www.berkshirehathaway.com/letters/letters.html,Letters archive,Yearly letters on business judgment with real numbers.,"Bare list of years, instant load.",One page archive index.,dense-20-berkshire.png
21,Bank of England Explainers,https://www.bankofengland.co.uk/explainers,Plain explainers,"Short guides to money, prices, and rates with one chart each.",One idea per screen in plain words.,Hub with four topics plus most read row.,dense-21-bank-england.png
22,Ken Shirriff blog,https://www.righto.com,Teardowns,Chip and hardware teardowns from die photo to system.,Plain single column with big labeled photos.,Labeled teardown photos plus notes.,dense-22-righto.png
23,nullprogram,https://nullprogram.com,Tech notes,Deep practical notes on code and tools.,Hand made fast pages with code proof.,Summary first plus code proof.,dense-23-nullprogram.png
24,Public Domain Review,https://publicdomainreview.org,Essays plus sources,Long essays linked to free scans and books.,Calm serif pages with footnotes and sources.,Essay plus linked source scan.,dense-24-public-domain.png
25,Wellcome Stories,https://wellcomecollection.org/stories,Health stories,Long reads on health with archive images.,Clean cards plus large type articles.,Story type labels for skimming.,dense-25-wellcome.png
26,Economist Graphic Detail,https://www.economist.com/graphic-detail,Data stories,One data story per week with open data.,Plain template with one chart and short text.,One chart carries the claim.,dense-26-graphic-detail.png
27,Red Blob Games,https://www.redblobgames.com,Playable guides,Visual guides where diagrams move as you drag.,Plain text plus small playable diagrams.,Slider teaches faster than text.,dense-27-red-blob.png
28,Internet Encyclopedia of Philosophy,https://iep.utm.edu,Reference,Peer checked philosophy entries with author names.,Plain A to Z index plus long single pages.,Signed author plus sources footer.,dense-28-iep.png
29,Stacks Project,https://stacks.math.columbia.edu,Tagged reference,Grad math text where every proof has a stable tag.,Black on white with 20k plus linked tags.,Stable tag ID per claim.,dense-29-stacks.png
30,Without Hot Air,https://www.withouthotair.com,Free textbook,Energy numbers with balance sheets you can check.,Plain HTML chapters with charts and notes.,Numbers first balance sheet.,dense-30-without-hot-air.png
31,DoITPoMS,https://www.doitpoms.ac.uk,Materials school,"Cambridge packs on foams, rubber, and metals with photos.","Plain index with tag filters, one page per topic.",One topic one page with micro photos.,dense-31-doitpoms.png
32,iFixit Teardowns,https://www.ifixit.com/Teardown,Cut-opens,Step by step device opens with score from 0 to 10.,Plain cards plus numbered photo steps.,Numbered photo steps plus score card.,dense-32-ifixit.png
33,Audio Science Review,https://www.audiosciencereview.com/forum/index.php,Lab measures,Independent lab measures with graphs and ranked tables.,Plain forum lists hiding deep test archive.,Fixed method line plus ranked table.,dense-33-asr.png
34,Works in Progress,https://worksinprogress.co,Progress essays,"Long essays on housing, energy, and health with charts.",Plain white with topic cards to long reads.,Topic cards to long single column reads.,dense-34-works-in-progress.png
35,Marginal Revolution,https://marginalrevolution.com,Daily notes,Daily short notes on papers and data with links.,Plain feed with tags and dates.,Dated tagged short summaries plus links.,dense-35-marginal-revolution.png
